frame_number,timestamp,cam1_centre_x,cam1_centre_y,cam1_confidence,cam1_method,cam2_centre_x,cam2_centre_y,cam2_confidence,cam2_method
22355,372743.3333333333,2675,1584,0.646885871887207,YOLO,611,426,0.3678268790245056,YOLO
22356,372760.00000000006,2675,1584,0.6471957564353943,YOLO,622,422,0.4,LK
22357,372776.6666666667,2675,1584,0.647330105304718,YOLO,622,422,0.3,LK
22358,372793.3333333334,2675,1584,0.6446517705917358,YOLO,622,422,0.2,LK
22359,372810.0,2675,1584,0.639785647392273,YOLO,622,422,0.2,LK
22360,372826.6666666667,2675,1584,0.6415444016456604,YOLO,622,422,0.2,LK
22361,372843.3333333334,2675,1584,0.6427556276321411,YOLO,622,422,0.2,LK
22362,372860.0,2675,1584,0.6482818126678467,YOLO,622,422,0.2,LK
22363,372876.6666666667,2675,1584,0.645675778388977,YOLO,622,422,0.2,LK
22364,372893.3333333334,2675,1584,0.6469106674194336,YOLO,622,422,0.2,LK
22365,372910.0,2675,1584,0.6472585201263428,YOLO,622,422,0.2,LK
