frame_no,A1_x,A1_y,A1_confidence,A2_x,A2_y,A2_confidence,B1_x,B1_y,B1_confidence,B2_x,B2_y,B2_confidence
1161,1763,372,0.8161921501159668,117,288,0.8006155490875244,887,477,0.6224137395809755,809,465,0.6200325719496667
1162,1713,375,0.7938171625137329,116,288,0.4,887,476,0.4,833,457,0.7095095197889119
1163,1667,378,0.6177759170532227,116,288,0.3,843,466,0.7947567105293274,860,450,0.6502915851480175
1164,1622,381,0.8009806871414185,348,308,0.8567474484443665,847,465,0.4,887,443,0.6463181867558407
1165,1578,385,0.8378750681877136,414,313,0.8341430425643921,847,465,0.3,916,436,0.7036519646644592
1166,1540,388,0.5955636501312256,471,319,0.519464910030365,757,448,0.7964953919549048,912,437,0.4
1167,1539,388,0.4,471,319,0.4,757,448,0.4,975,421,0.5731363892555237
1168,1539,388,0.3,584,334,0.8516761660575867,757,448,0.3,974,421,0.4
1169,1539,388,0.2,634,337,0.779533326625824,679,433,0.4639344215393066,1045,405,0.6455029845237732
1170,1400,404,0.7307498455047607,548,329,0.4,683,432,0.4,1045,404,0.4
1171,1399,404,0.4,548,329,0.3,683,432,0.3,1045,404,0.3
1172,1399,404,0.3,761,359,0.7907808423042297,683,432,0.2,1163,380,0.7459513710588379
1173,1312,417,0.4420719146728515,761,358,0.4,552,416,0.531456470489502,1163,379,0.4
1174,1318,413,0.4,761,358,0.3,517,410,0.5892741680145264,1256,365,0.4685203731060028
1175,1318,413,0.3,875,381,0.7707192301750183,482,407,0.7502239346504211,1255,364,0.4
1176,1234,430,0.4493336379528045,909,388,0.8134254813194275,445,404,0.4539069831371307,1255,364,0.3
1177,1211,435,0.4522290229797363,887,392,0.4,63,503,0.8273908495903015,1255,364,0.2
1178,1210,435,0.4,971,403,0.632969856262207,108,507,0.7024672627449036,1463,337,0.7811689972877502
1179,1210,435,0.3,999,408,0.7274074491238363,107,507,0.4,1532,329,0.5614540576934814
1180,1210,435,0.2,1027,417,0.8206478953361511,147,503,0.3,1598,321,0.8104907870292664
1181,1125,455,0.6678897206844195,385,431,0.6737651190752144,238,388,0.7788053750991821,1673,314,0.8171833157539368
1182,1108,459,0.4701980054378509,1077,431,0.702171935411287,192,385,0.7879896759986877,1748,307,0.7726454138755798
1183,1088,465,0.6013549912688727,1100,439,0.6012979338478888,142,384,0.8269013166427612,1751,307,0.4
1184,1088,464,0.4,1123,446,0.6082147725892362,93,382,0.8395137786865234,1751,307,0.3
1185,1053,476,0.6833714222792671,1145,454,0.7461447538866685,42,380,0.82182776927948,1751,307,0.2
1217,748,566,0.4,728,545,0.3,876,533,0.3,1880,502,0.7117863297462463
1218,747,565,0.3,728,545,0.2,876,533,0.2,1884,501,0.4
1219,746,565,0.2,728,545,0.2,876,533,0.2,1903,506,0.3
1296,1244,498,0.7964953919549048,78,322,0.2,56,150,0.6335399746894836,1842,262,0.3
1297,1249,494,0.4,78,322,0.2,126,162,0.8699728846549988,1842,262,0.2
1298,1258,492,0.6251822832777502,78,322,0.2,189,172,0.8562080264091492,1842,262,0.2
1299,1265,489,0.7964953919549048,78,322,0.2,252,184,0.8769175410270691,1612,309,0.7462220788002014
1300,1270,486,0.4,78,322,0.2,312,195,0.8419837355613708,1611,309,0.4
1301,1276,483,0.3,78,322,0.2,370,207,0.7994077801704407,1611,309,0.3
1411,1793,409,0.8543787002563477,283,451,0.3857709467411041,1012,377,0.676025886348562,1049,442,0.2
1412,1730,425,0.8024829626083374,284,454,0.4,979,377,0.6972738013630693,1049,442,0.2
1424,1273,567,0.8224528431892395,638,553,0.8133573532104492,569,410,0.4,1426,453,0.8144819140434265
1425,1273,566,0.4,638,553,0.4,569,410,0.3,1451,458,0.764754056930542
1426,1196,564,0.3,685,572,0.7378807663917542,440,433,0.8415135145187378,1449,457,0.4
1427,1206,596,0.7435222591062691,707,579,0.7005699204209082,439,434,0.4,1503,468,0.5603838562965393
1428,1185,604,0.5353144309728082,728,589,0.6639006173840292,346,452,0.854708731174469,1502,468,0.4
1429,1166,614,0.5665311656594476,751,599,0.8051339983940125,296,462,0.6881979703903198,1502,468,0.3
1430,1148,624,0.6609879549425132,750,598,0.4,250,473,0.8683663010597229,1502,468,0.2
1431,1131,632,0.6990166276828049,792,616,0.665148477200407,200,485,0.8627356886863708,1502,468,0.2
1432,1115,641,0.792017772627191,813,627,0.6917493175722135,149,497,0.8393521308898926,1653,502,0.4339936673641205
1433,1099,649,0.7829315191403073,833,636,0.6664853611069185,97,511,0.8378792405128479,1648,503,0.4
