frame_no,A1_x,A1_y,A1_confidence,A1_method,A2_x,A2_y,A2_confidence,A2_method
934,1803,407,0.8137478828430176,YOLO,210,422,0.834425151348114,YOLO
935,1749,415,0.8137804269790649,YOLO,255,428,0.8181137442588806,YOLO
936,1091,539,0.7964953919549048,BG,297,435,0.5949259400367737,YOLO
937,1648,432,0.8564746975898743,YOLO,297,435,0.4,LK
938,1647,431,0.4,LK,332,441,0.6251822870788951,BG
939,1556,450,0.7640290260314941,YOLO,414,455,0.8096304535865784,YOLO
940,1544,449,0.7798381254407766,BG,413,455,0.4,LK
941,1522,455,0.6014486279219953,BG,413,455,0.3,LK
942,1470,463,0.5821330594622987,BG,514,476,0.79883873462677,YOLO
943,1400,484,0.8338354229927063,YOLO,543,483,0.7777970433235168,YOLO
944,1391,484,0.8458348514740116,BG,543,483,0.4,LK
945,1331,502,0.8617282509803772,YOLO,543,483,0.3,LK
946,1333,502,0.7295633056601964,BG,650,499,0.8061450660379307,BG
947,1268,520,0.8021323680877686,YOLO,649,498,0.4,LK
948,1238,526,0.5142535774535534,BG,677,517,0.6269475859030686,BG
949,1238,531,0.4,LK,676,516,0.4,LK
950,1238,531,0.3,LK,676,516,0.3,LK
951,1157,555,0.6393043994903564,YOLO,676,516,0.2,LK
952,1131,564,0.8264473676681519,YOLO,761,547,0.5367460329653373,BG
953,1107,574,0.6556553840637207,YOLO,783,555,0.7575655579566956,YOLO
954,1083,582,0.6711515669304658,BG,783,554,0.4,LK
955,1061,590,0.6439302012665772,BG,744,536,0.534516461231188,BG
956,1039,601,0.8301331400871277,YOLO,836,577,0.675174195411533,BG
957,1039,600,0.4,LK,853,584,0.6710150573647035,BG
958,998,618,0.7166670004327368,BG,869,591,0.4,LK
959,979,626,0.6144737849879819,BG,859,591,0.3,LK
960,978,626,0.4,LK,901,607,0.6977353113971827,BG
961,942,645,0.6126790421850068,BG,916,614,0.7009449888926252,BG
962,937,646,0.4,LK,930,621,0.6877535922269661,BG
963,920,650,0.3,LK,943,629,0.6981495213799727,BG
964,920,650,0.2,LK,956,631,0.5989023329956343,BG
965,879,669,0.6777771711349487,YOLO,964,622,0.7706654637255596,BG
966,870,667,0.4,LK,972,613,0.7295632915917724,BG
967,869,667,0.3,LK,980,605,0.7491195616706107,BG
968,848,640,0.5605725679985739,BG,988,598,0.7599925760865994,BG
969,837,631,0.6830312898146628,BG,845,532,0.7689394011682371,BG
970,827,624,0.7295633056601964,BG,1004,584,0.661957711705853,BG
971,818,616,0.6830312961867525,BG,1011,577,0.646814527087596,BG
972,808,609,0.7215119325916399,BG,1019,571,0.7663037799788776,BG
973,798,602,0.7859914640611582,BG,1026,565,0.7991743141147477,BG
974,788,594,0.5265598703836084,BG,1034,560,0.7167188736322383,BG
975,780,590,0.7546169408165511,BG,1041,555,0.6639006136707796,BG
976,771,584,0.7810175211984731,BG,1047,550,0.7392934065824305,BG
977,762,579,0.7590170352154523,BG,887,511,0.6737651190752144,BG
978,753,574,0.7082942521440521,BG,1061,542,0.6822824866852049,BG
979,744,570,0.6803454321247149,BG,897,507,0.8198545354117052,BG
980,738,567,0.5601240992546082,YOLO,1074,535,0.6288474407771745,BG
981,727,562,0.6067945690636987,BG,1081,532,0.6188143483889068,BG
982,720,559,0.7545745818520151,BG,1087,529,0.6863827700137785,BG
983,712,555,0.6088504629820921,BG,917,501,0.6430287075658971,BG
984,704,553,0.5901166025826431,BG,1099,524,0.5516314248743555,BG
985,703,552,0.4,LK,1105,522,0.6935989106655485,BG
986,689,548,0.606874058814728,BG,932,498,0.7785730219145969,BG
987,688,547,0.4,LK,1117,519,0.5475231182850782,BG
988,674,545,0.6966144331963885,BG,1123,518,0.6151515150938157,BG
989,666,544,0.5659309363890113,BG,1128,517,0.6108759556927862,BG
990,660,543,0.5109475067402145,BG,950,495,0.8061450660379307,BG
991,653,542,0.4,LK,955,495,0.8061450660379307,BG
992,650,541,0.3,LK,1144,515,0.5126262625781798,BG
993,646,542,0.2,LK,1150,514,0.534516461231188,BG
994,645,543,0.2,LK,1155,515,0.5885080904287388,BG
995,645,543,0.2,LK,1160,515,0.4,LK
996,645,543,0.2,LK,1165,515,0.3,LK
997,645,544,0.2,LK,1169,516,0.2,LK
998,645,544,0.2,LK,1174,518,0.6288121515433458,BG
999,645,544,0.2,LK,1179,519,0.6288121515433458,BG
1000,645,543,0.2,LK,1183,520,0.4,LK
1001,645,543,0.2,LK,1188,521,0.3,LK
1002,588,551,0.4663378894329071,YOLO,1192,523,0.2,LK
1003,588,550,0.4,LK,1196,525,0.2,LK
1004,589,548,0.3,LK,1192,521,0.2,LK
1005,590,547,0.2,LK,1192,524,0.2,LK
1006,591,545,0.2,LK,1192,518,0.2,LK
1007,592,542,0.2,LK,944,482,0.5519139748323036,BG
1008,587,548,0.4952282011508941,YOLO,944,481,0.4,LK
1009,600,537,0.4,LK,915,475,0.5802172555929346,BG
1010,600,533,0.3,LK,1161,505,0.7411416266302412,BG
1011,631,528,0.4213351011276245,YOLO,1149,500,0.6564678376474382,BG
1012,630,528,0.4,LK,1138,495,0.7171208543480075,BG
1013,659,515,0.6808730066432692,BG,1127,490,0.6948268209617899,BG
1014,675,509,0.7192877633878502,BG,1115,485,0.7059936943317515,BG
1015,691,503,0.7405115231394724,BG,1103,480,0.6772362685323776,BG
1016,707,497,0.6951034666118668,BG,1090,475,0.752402061635402,BG
1017,724,491,0.708294239616913,BG,1077,470,0.6981495213799727,BG
1018,741,485,0.6895392810929443,BG,1064,465,0.6721014975502076,BG
1019,758,479,0.6753908294354454,BG,1051,461,0.6410351607821445,BG
1020,776,474,0.7171208523366621,BG,1037,456,0.7176767676094518,BG
1021,794,468,0.6865745897209237,BG,1023,452,0.6935989106655485,BG
1022,812,463,0.6865745897209237,BG,1008,447,0.6730367163034771,BG
1023,832,458,0.7281472118602236,BG,993,443,0.6863235028480623,BG
1024,851,453,0.6587803280305379,BG,977,439,0.6929053609322435,BG
1025,871,448,0.6887376772400907,BG,961,435,0.6943798954658404,BG
1026,891,443,0.5964216640338037,BG,945,431,0.6679100614493977,BG
1027,891,443,0.4,LK,658,430,0.6211044788360596,YOLO
1028,891,443,0.3,LK,657,430,0.4,LK
1029,956,430,0.7053769327831894,BG,657,430,0.3,LK
1030,956,429,0.4,LK,643,429,0.2,LK
1031,956,429,0.3,LK,628,429,0.2,LK
1032,1026,419,0.5769917368888855,YOLO,628,429,0.2,LK
1033,1051,416,0.5712132446666832,BG,628,429,0.2,LK
1034,1076,415,0.6519206762313843,YOLO,628,429,0.2,LK
1035,1100,411,0.5548791285324388,BG,628,429,0.2,LK
1036,1125,409,0.5838615373682173,BG,774,406,0.620843231678009,YOLO
1037,1125,408,0.4,LK,751,404,0.7319937348365784,YOLO
1038,1125,408,0.3,LK,751,403,0.4,LK
1039,1211,404,0.4385858178138733,YOLO,751,403,0.3,LK
1040,1210,404,0.4,LK,751,403,0.2,LK
1041,1210,404,0.3,LK,751,403,0.2,LK
1042,1210,404,0.2,LK,751,403,0.2,LK
1043,1210,404,0.2,LK,751,403,0.2,LK
1044,1210,404,0.2,LK,424,425,0.5358572563049143,BG
1045,1400,403,0.6511204838752747,YOLO,424,425,0.4,LK
1046,1433,404,0.7972566485404968,YOLO,509,403,0.3878092169761657,YOLO
1047,1470,406,0.8151363134384155,YOLO,385,428,0.8061450660379307,BG
1048,1507,408,0.8276271820068359,YOLO,442,406,0.8168757557868958,YOLO
1049,1545,410,0.8053542971611023,YOLO,409,409,0.3722479939460754,YOLO
1050,1541,413,0.4,LK,376,409,0.6108759556927862,BG
1051,1541,413,0.3,LK,322,435,0.5075898592888367,BG
1052,1666,421,0.8334436416625977,YOLO,311,437,0.658792560873543,BG
1053,1710,426,0.6688954830169678,YOLO,310,437,0.4,LK
1054,1755,432,0.8323338031768799,YOLO,207,430,0.8320464491844177,YOLO
1055,1755,428,0.4,LK,161,436,0.8388252258300781,YOLO
1056,1795,434,0.7114959615650317,BG,113,442,0.4,LK
1057,1849,444,0.8061450913447775,BG,115,443,0.5491062067024735,BG
1058,1913,454,0.7486279056871123,BG,13,460,0.7250961661338806,YOLO
